Num,y
348622,1496.9756859976922
349519,1496.9756859976922
350191,1496.9756859976922
348623,27066.366455418873
349520,27066.366455418873
350192,27066.366455418873
348624,297560.28106501134
349521,297560.28106501134
350193,297560.28106501134
348625,29435.234061228297
349522,29435.234061228297
350194,29435.234061228297
348626,16.089109973440287
349523,16.089109973440287
350195,16.089109973440287
348627,146413.41804994218
349524,146413.41804994218
350196,146413.41804994218
348628,67648.26201556198
349525,67648.26201556198
350197,67648.26201556198
348629,112250.55779783064
349526,112250.55779783064
350198,112250.55779783064
348630,102891.80845587721
349527,102891.80845587721
350199,102891.80845587721
348631,3553.493986242987
349528,3553.493986242987
350200,3553.493986242987
348632,1845.6379002691929
349529,1845.6379002691929
350201,1845.6379002691929
348633,54961.2608153156
349530,54961.2608153156
350202,54961.2608153156
348634,279024.68152583635
349531,279024.68152583635
350203,279024.68152583635
348635,21977.628087457648
349532,21977.628087457648
350204,21977.628087457648
348636,1951.7176827411472
349533,1951.7176827411472
350205,1951.7176827411472
348637,179401.9489054822
349534,179401.9489054822
350206,179401.9489054822
348638,121441.92553150891
349535,121441.92553150891
350207,121441.92553150891
348639,510266.9231482458
349536,510266.9231482458
350208,510266.9231482458
348640,510896.25966198277
349537,510896.25966198277
350209,510896.25966198277
348641,2334.5551386816087
349538,2334.5551386816087
350210,2334.5551386816087
348642,113223.73427879842
349539,113223.73427879842
350211,113223.73427879842
348643,83583.84524616969
349540,83583.84524616969
350212,83583.84524616969
348644,1224.1696465860043
349541,1224.1696465860043
350213,1224.1696465860043
348645,24274.629830373207
349542,24274.629830373207
350214,24274.629830373207
348646,10955.80412126753
349543,10955.80412126753
350215,10955.80412126753
348647,150347.5831748076
349544,150347.5831748076
350216,150347.5831748076
348648,7531.698572602084
349545,7531.698572602084
350217,7531.698572602084
348649,18630.631600821125
349546,18630.631600821125
350218,18630.631600821125
348650,5528.073842569943
349547,5528.073842569943
350219,5528.073842569943
348651,23597.924028024867
349548,23597.924028024867
350220,23597.924028024867
348652,17127.58649049838
349549,17127.58649049838
350221,17127.58649049838
348653,279973.9629523102
349550,279973.9629523102
350222,279973.9629523102
348654,7399.8258821417385
349551,7399.8258821417385
350223,7399.8258821417385
348655,21943.244226798302
349552,21943.244226798302
350224,21943.244226798302
348656,10446.261884961159
349553,10446.261884961159
350225,10446.261884961159
348657,2472.6925019059713
349554,2472.6925019059713
350226,2472.6925019059713
348658,44845.75876031671
349555,44845.75876031671
350227,44845.75876031671
348659,1418.516506080587
349556,1418.516506080587
350228,1418.516506080587
348660,164.90308293079974
349557,164.90308293079974
350229,164.90308293079974
348661,16944.52087830077
349558,16944.52087830077
350230,16944.52087830077
348662,7066.242724296731
349559,7066.242724296731
350231,7066.242724296731
348663,18512.827973303716
349560,18512.827973303716
350232,18512.827973303716
348664,1161796.6418489835
349561,1161796.6418489835
350233,1161796.6418489835
348665,80077.23215289295
349562,80077.23215289295
350234,80077.23215289295
348666,343214.7026278778
349563,343214.7026278778
350235,343214.7026278778
348667,874005.9400187297
349564,874005.9400187297
350236,874005.9400187297
348668,95921.78585171314
349565,95921.78585171314
350237,95921.78585171314
348669,27061.46129000807
349566,27061.46129000807
350238,27061.46129000807
